vorname;anzahl
Magali;1
Magdalena;8
Magdalene;1
Mahin;1
Mai;1
Maia;2
Maie;1
Maila;1
Maira;1
Maja;12
Majla;1
Makiko;1
Maksima;1
Malaika;2
Malak;5
Malú;1
Malea;1
Malena;1
Malia;6
Malie;3
Malika;4
Malin;5
Malina;5
Malina-Nicoll;1
Malou;7
Malu;1
Man;1
Manar;1
Mandy;1
Mandy-Vanessa;1
Manisa;1
Manou;1
Mantua;1
Manuela;1
Mara;8
Maram;1
Marcelina;2
Marcelle;1
Mareen;1
Mareike;1
Maren;1
Marga;1
Margareta;1
Margarete;5
Margarita;1
Margit;1
Margret;1
Maria;110
Maria-Despina;1
Maria-Elena;1
Mariam;8
Maria-Magda;1
Mariana;1
Marianna;1
Marianne;1
Maribel;1
Marica;1
Marie;163
Mariebella;1
Marie-Julie;1
Mariella;3
Marie-Lou;1
Marie-Luise;1
Marie-Madeleine;1
Marie-Sophie;1
Marietta;1
Marilou;1
Marina;5
Marina-Sophia;1
Marine;2
Marisa;1
Marisol;1
Marissa;1
Marit;1
Marla;5
Marleen;5
Marlen;2
Marlena;4
Marlene;34
Marlie;2
Marlien;1
Marlies;1
Marly;1
Maroua;1
Marta;5
Martha;14
Martilda;1
Martina;3
Marva;1
Mary;1
Marya;1
Maryam;11
Mary-Jean;1
Masa;1
Masal;2
Mascha;2
Masume;1
Matea;3
Mateja;1
Mathea;5
Mathilda;28
Mathilde;6
Matilda;19
Matilde;1
Matina;1
Matisa;1
Matylda;1
Maura;1
Mavie;1
Maxi;1
Maxima;1
Maxime;1
Maximilia;2
Maximilian;1
Maximiliane;1
Maxine;1
May;5
Maya;22
Mayar;1
Maya-Sofia;1
Mayfair;1
Mayla;3
Maylin;1
Maysa;1
Maysaa;1
Maysoon;1
Mayssae;2
Mayu;1
Mea;1
Meara;1
Mechtild;1
Medina;4
Mei;1
Melanie;3
Melanya;1
Melat;1
Melek;7
Melia;1
Melika;1
Melike;1
Melin;1
Melina;14
Melinda;1
Melis;3
Melisa;4
Melissa;5
Meliya;1
Melodie;1
Melody;3
Melyna;1
Meng;1
Mercedeh;1
Mercedes;2
Merle;4
Merve;1
Meryem;10
Meryem-Hatice;1
Mesk;1
Metodieva;1
Meyra;2
Meyra-Gül;1
Mia;60
Mia-Amy;1
Mia-Jolie;1
Mia-Marie;1
Mia-Sophie;2
Michaela;5
Michelina;1
Michelle;5
Mihaela;1
Mihailova;1
Mihrimah;2
Mika;3
Miko;1
Mila;39
Milana;5
Milena;8
Mili;1
Milia;1
Milina;1
Milla;3
